date,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,CIPLA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS,return_val
2020-11-05,0,5,5,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80226.12424706295
2020-11-06,0,5,5,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71074.4884787742
2020-11-09,0,5,5,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,55787.57146347128
2020-11-10,0,5,5,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,294448.95198794454
2020-11-11,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5329.861074188724
2020-11-12,0,5,5,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,145608.9836779479
2020-11-13,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,45420.22445470467
2020-11-17,0,5,5,1,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,110611.54153434746
2020-11-18,0,5,5,1,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-81791.66958619654
2020-11-19,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,-5,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,314070.1267451085
2020-11-20,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5,255054.27112848684
2020-11-23,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,134688.5181299057
2020-11-24,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-243324.69253042527
2020-11-25,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,-5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,123790.56872683764
2020-11-27,0,5,5,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,134335.78659544326
