,date,account_value
393,2022-02-14,19824871.483674392
394,2022-02-15,20468232.232774124
395,2022-02-16,20406073.719422683
396,2022-02-17,20317878.989823684
397,2022-02-18,20243917.4908918
398,2022-02-22,20043800.85165535
399,2022-02-23,19989957.85313545
400,2022-02-24,19052214.001130447
401,2022-02-25,19543712.613786086
402,2022-02-28,19664371.71769844
403,2022-03-02,19410395.936005935
404,2022-03-03,19043816.554871902
405,2022-03-04,18809974.408189163
406,2022-03-07,18150044.987580642
407,2022-03-08,18418989.679734573
408,2022-03-09,18868783.027879104
409,2022-03-10,19187707.068192825
410,2022-03-11,19287577.271790847
411,2022-03-14,19420876.213258132
412,2022-03-15,19301808.37031685
413,2022-03-16,19774200.29104744
414,2022-03-17,20073063.110780105
415,2022-03-21,19817868.187928542
416,2022-03-22,20085298.2925428
417,2022-03-23,20018877.72313057
418,2022-03-24,20134751.083955154
419,2022-03-25,20106426.232514724
420,2022-03-28,20216442.25715767
421,2022-03-29,20247427.22523628
422,2022-03-30,20591189.960679397
423,2022-03-31,20510038.748521194
424,2022-04-01,20646063.44790779
425,2022-04-04,20812287.7401136
426,2022-04-05,20673798.953812942
427,2022-04-06,20570794.392060623
428,2022-04-07,20485976.015000686
429,2022-04-08,20657531.043351516
430,2022-04-11,20531573.800294265
431,2022-04-12,20279170.14085518
432,2022-04-13,20124515.951279983
433,2022-04-18,19877533.80865608
434,2022-04-19,19669367.83500801
