date,action,tic,num_of_shares,price,total_num_shares,balance
2022-06-20,sell,ONGC.NS,0,134.4,0,9477736.52
2022-06-20,sell,NESTLEIND.NS,0,16967.1,0,9477736.52
2022-06-20,sell,LUPIN.NS,0,606.8,0,9477736.52
2022-06-20,sell,KOTAKBANK.NS,0,1679.2,0,9477736.52
2022-06-20,sell,ITC.NS,0,264.1,0,9477736.52
2022-06-20,sell,IOC.NS,0,103.05,0,9477736.52
2022-06-20,sell,INFY.NS,0,1414.15,0,9477736.52
2022-06-20,sell,INDUSINDBK.NS,0,784.05,0,9477736.52
2022-06-20,sell,HINDUNILVR.NS,0,2195.9,0,9477736.52
2022-06-20,sell,JSWSTEEL.NS,0,550.35,0,9477736.52
2022-06-20,sell,HEROMOTOCO.NS,0,2452.55,0,9477736.52
2022-06-20,sell,HDFCBANK.NS,0,1322.15,0,9477736.52
2022-06-20,sell,HDFC.NS,0,2135.25,0,9477736.52
2022-06-20,sell,HCLTECH.NS,0,960.05,0,9477736.52
2022-06-20,sell,AXISBANK.NS,0,628.3,0,9477736.52
2022-06-20,sell,GRASIM.NS,0,1316.0,0,9477736.52
2022-06-20,sell,HINDALCO.NS,0,321.5,0,9477736.52
2022-06-20,sell,BAJFINANCE.NS,0,5470.45,0,9477736.52
2022-06-20,sell,DRREDDY.NS,0,4151.8,0,9477736.52
2022-06-20,buy,WIPRO.NS,5,414.65,71,9475661.19
2022-06-20,buy,SBIN.NS,5,434.7,62,9473485.52
2022-06-20,buy,UPL.NS,5,640.45,67,9470280.07
2022-06-20,buy,LT.NS,5,1471.8,75,9462913.71
2022-06-20,buy,EICHERMOT.NS,5,2623.25,71,9449784.34
2022-06-20,buy,M&M.NS,5,982.7,74,9444865.93
2022-06-20,buy,MARUTI.NS,5,7660.95,77,9406522.87
2022-06-20,buy,NTPC.NS,5,137.25,70,9405835.94
2022-06-20,buy,POWERGRID.NS,5,208.25,73,9404793.64
2022-06-20,buy,RELIANCE.NS,5,2543.05,69,9392065.68
2022-06-20,buy,CIPLA.NS,5,925.85,79,9387431.8
2022-06-20,buy,BHARTIARTL.NS,5,640.9,64,9384224.09
2022-06-20,buy,TATASTEEL.NS,5,861.4,74,9379912.79
2022-06-20,buy,BAJAJ-AUTO.NS,5,3615.95,77,9361814.96
2022-06-20,buy,SUNPHARMA.NS,5,805.3,73,9357784.43
2022-06-20,buy,BAJAJFINSV.NS,5,11709.65,76,9299177.63
2022-06-20,buy,TECHM.NS,5,979.35,72,9294275.99
2022-06-20,buy,TATACONSUM.NS,5,716.85,79,9290688.15
2022-06-20,buy,ICICIBANK.NS,5,685.95,69,9287254.97
2022-06-21,sell,ASIANPAINT.NS,0,2678.35,0,9287254.97
2022-06-21,sell,ULTRACEMCO.NS,0,5418.9,0,9287254.97
2022-06-21,sell,TITAN.NS,0,2078.1,0,9287254.97
2022-06-21,sell,TCS.NS,0,3211.95,0,9287254.97
2022-06-21,sell,TATAMOTORS.NS,0,397.6,0,9287254.97
2022-06-21,sell,SHREECEM.NS,0,18551.35,0,9287254.97
2022-06-21,sell,ONGC.NS,0,139.1,0,9287254.97
2022-06-21,sell,NESTLEIND.NS,0,16971.8,0,9287254.97
2022-06-21,sell,LUPIN.NS,0,629.85,0,9287254.97
2022-06-21,sell,KOTAKBANK.NS,0,1681.5,0,9287254.97
2022-06-21,sell,ITC.NS,0,269.9,0,9287254.97
2022-06-21,sell,IOC.NS,0,105.75,0,9287254.97
2022-06-21,sell,INFY.NS,0,1449.9,0,9287254.97
2022-06-21,sell,INDUSINDBK.NS,0,798.85,0,9287254.97
2022-06-21,sell,HINDUNILVR.NS,0,2205.0,0,9287254.97
2022-06-21,sell,JSWSTEEL.NS,0,576.2,0,9287254.97
2022-06-21,sell,HEROMOTOCO.NS,0,2499.2,0,9287254.97
2022-06-21,sell,HDFCBANK.NS,0,1336.55,0,9287254.97
2022-06-21,sell,HDFC.NS,0,2174.7,0,9287254.97
2022-06-21,sell,HCLTECH.NS,0,986.6,0,9287254.97
2022-06-21,sell,AXISBANK.NS,0,636.5,0,9287254.97
2022-06-21,sell,GRASIM.NS,0,1334.1,0,9287254.97
2022-06-21,sell,HINDALCO.NS,0,339.25,0,9287254.97
2022-06-21,sell,BAJFINANCE.NS,0,5549.15,0,9287254.97
2022-06-21,sell,DRREDDY.NS,0,4268.65,0,9287254.97
