,tic,time_period_in_months,model,total return,idle return
250,LUPIN.NS,6,sac,169001.2,186912.5
251,LUPIN.NS,12,sac,206059.87,228165.3
252,LUPIN.NS,18,sac,133885.91,180665.1
253,LUPIN.NS,24,sac,-992988.9999999999,152489.69999999998
254,M&M.NS,1,sac,23617.350000000002,27896.7
255,M&M.NS,3,sac,-84556.85999999999,48849.0
256,M&M.NS,6,sac,-84556.85999999999,48849.0
257,M&M.NS,12,sac,-84556.85999999999,48849.0
258,M&M.NS,18,sac,-87127.86,69232.2
259,M&M.NS,24,sac,-87127.86,63361.200000000004
260,MARUTI.NS,1,sac,794741.68,676377.0
261,MARUTI.NS,3,sac,1125147.72,1031640.75
262,MARUTI.NS,6,sac,1360905.41,1287076.0
263,MARUTI.NS,12,sac,1398758.49,1323277.0
264,MARUTI.NS,18,sac,1350839.94,1277976.95
265,MARUTI.NS,24,sac,1384941.99,1310215.5
266,NESTLEIND.NS,1,sac,2195669.33,1751353.2000000002
267,NESTLEIND.NS,3,sac,2668751.87,2233781.5500000003
268,NESTLEIND.NS,6,sac,3177733.3699999996,2659421.05
269,NESTLEIND.NS,12,sac,2991232.22,2503458.1
270,NESTLEIND.NS,18,sac,3282248.57,2746822.65
271,NESTLEIND.NS,24,sac,3171603.02,2654294.5
272,NTPC.NS,6,sac,799.57,803.6
273,NTPC.NS,12,sac,-54049.45999999999,12069.199999999999
274,NTPC.NS,18,sac,-30822.83,42845.2
275,NTPC.NS,24,sac,-17683.990000000005,60220.799999999996
276,ONGC.NS,3,sac,-13903.870000000003,760.6500000000001
277,ONGC.NS,6,sac,-14552.38,1649.7
278,ONGC.NS,12,sac,-14552.38,1649.7
279,ONGC.NS,18,sac,-14552.38,1649.7
280,ONGC.NS,24,sac,-14552.38,1649.7
281,POWERGRID.NS,1,sac,-166.44000000000688,5884.12
282,POWERGRID.NS,3,sac,118454.99,20576.64
283,POWERGRID.NS,6,sac,144480.71000000002,48126.1
284,POWERGRID.NS,12,sac,167129.67,75489.04
285,POWERGRID.NS,18,sac,204445.53,124801.65
286,POWERGRID.NS,24,sac,217209.26,140971.0
287,RELIANCE.NS,1,sac,293781.9,208777.09999999998
288,RELIANCE.NS,3,sac,34932.76999999996,314307.0
289,RELIANCE.NS,6,sac,-1713.990000000049,280462.0
290,RELIANCE.NS,12,sac,68501.44,361965.39999999997
291,RELIANCE.NS,18,sac,497767.92,901160.25
